id,valid,canonical,iupac,cid,label
pos_32,FC(F)(F)c1ccc(cc1)OC(CCNC)c2ccccc2,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,3386,0.0
pos_33,c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Cl)cc3,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,3559,0.0
pos_34,FC(F)(F)C(Cl)Br,C(C(F)(F)F)(Cl)Br,"2-bromo-2-chloro-1,1,1-trifluoroethane",3562,0.0
pos_35,c1cc(Cl)ccc1C(c2ccccc2)N3CCN(CC3)CCOCCO,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]ethanol,3658,0.0
pos_36,CCN(CC)CC(=O)Nc(c1C)c(C)ccc1,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,"2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide",3676,0.0
pos_37,CN(C)CCCN(c(c12)cccc1)c3c(CC2)cccc3,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine",3696,0.0
pos_38,FC(F)(F)C(Cl)OC(F)F,C(C(F)(F)F)(OC(F)F)Cl,"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",3763,0.0
pos_39,c1ccc(Cl)c(Cl)c1-c2c(N)nc(N)nn2,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,"6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine",3878,0.0
pos_40,c1ccccc1C(C(=O)N(C)C)(c2ccccc2)CCN(CC3)CCC3(O)c4ccc(Cl)cc4,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",3955,0.0
pos_41,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3c(Cl)cccc3,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,"7-chloro-5-(2-chlorophenyl)-3-hydroxy-1,3-dihydro-1,4-benzodiazepin-2-one",3958,0.0
pos_42,c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2C(O)C3CCCCN3,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,"[2,8-bis(trifluoromethyl)quinolin-4-yl]-piperidin-2-ylmethanol",4046,0.0
pos_43,ClC(Cl)C(F)(F)OC,COC(C(Cl)Cl)(F)F,"2,2-dichloro-1,1-difluoro-1-methoxyethane",4116,0.0
pos_44,N1CCCCC1C(C(=O)OC)c2ccccc2,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,methyl 2-phenyl-2-piperidin-2-ylacetate,4158,0.0
pos_45,CC(C)NCC(O)COc(cc1)ccc1CCOC,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,1-[4-(2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol,4171,0.0
pos_46,C1CN(C)CC2N1c(cccc3)c3Cc(c24)cccc4,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,"5-methyl-2,5-diazatetracyclo[13.4.0.02,7.08,13]nonadeca-1(19),8,10,12,15,17-hexaene",4184,0.0
pos_47,C1CN(C)CC2N1c(nccc3)c3Cc(c24)cccc4,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,"5-methyl-2,5,19-triazatetracyclo[13.4.0.02,7.08,13]nonadeca-1(15),8,10,12,16,18-hexaene",4205,0.0
pos_48,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3ccccc3,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,"7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",4616,0.0
pos_49,CC(C)=CCN(CC1)C(C2C)Cc(c3C12C)ccc(c3)O,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,"1,13-dimethyl-10-(3-methylbut-2-enyl)-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol",4736,0.0
pos_50,CN(C)CCCN1c(cccc2)c2Sc(c13)cccc3,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,"N,N-dimethyl-3-phenothiazin-10-ylpropan-1-amine",4926,0.0
pos_51,CC(C)c1c(O)c(C(C)C)ccc1,CC(C)C1=C(C(=CC=C1)C(C)C)O,"2,6-di(propan-2-yl)phenol",4943,0.0
pos_52,CC(C)NCC(O)COc1cccc(c12)cccc2,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol,4946,0.0
pos_53,n1ccccc1N(CCN(C)C)Cc2ccc(cc2)OC,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,"N'-[(4-methoxyphenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine",4992,0.0
pos_54,O=C1CC(CN1)c2cc(c(cc2)OC)OC3CCCC3,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,4-(3-cyclopentyloxy-4-methoxyphenyl)pyrrolidin-2-one,5092,0.0
pos_55,CCCN(CCC)CCc1cccc(c12)NC(=O)C2,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,"4-[2-(dipropylamino)ethyl]-1,3-dihydroindol-2-one",5095,0.0
pos_56,FC(F)(F)C(C(F)(F)F)OCF,C(OC(C(F)(F)F)C(F)(F)F)F,"1,1,1,3,3,3-hexafluoro-2-(fluoromethoxy)propane",5206,0.0
pos_57,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccccc4,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,"8-[4-(4-fluorophenyl)-4-oxobutyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",5265,0.0
pos_58,CC(C)(C)c1ccc(cc1)C(O)CCCN(CC2)CCC2C(O)(c3ccccc3)c4ccccc4,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,1-(4-tert-butylphenyl)-4-[4-[hydroxy(diphenyl)methyl]piperidin-1-yl]butan-1-ol,5405,0.0
pos_59,CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfanylphenothiazine,5452,0.0
pos_60,n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4c(Cl)cccc4,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,"8-chloro-6-(2-chlorophenyl)-1-methyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine",5556,0.0
pos_61,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,10-[3-(4-methylpiperazin-1-yl)propyl]-2-(trifluoromethyl)phenothiazine,5566,0.0
pos_62,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN(C)C,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,"N,N-dimethyl-3-[2-(trifluoromethyl)phenothiazin-10-yl]propan-1-amine",5568,0.0
pos_63,c1ccccc1C(=O)OC(C2C(=O)OC)CC(N3C)CCC23,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,methyl 3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate,2826,0.0
pos_64,CCCCN(C1)CC2C1Cc(c23)cc(OC)c(c3)OC,CCCCN1CC2CC3=CC(=C(C=C3C2C1)OC)OC,"2-butyl-6,7-dimethoxy-3,3a,4,8b-tetrahydro-1H-indeno[1,2-c]pyrrole",6086,0.0
pos_65,ClC(Cl)Cl,C(Cl)(Cl)Cl,chloroform,6212,0.0
pos_66,CCCCCO,CCCCCO,pentan-1-ol,6276,0.0
pos_67,ClC(Cl)(Cl)C,CC(Cl)(Cl)Cl,"1,1,1-trichloroethane",6278,0.0
pos_68,C=C,C=C,ethene,6325,0.0
pos_69,CC(Br)C,CC(C)Br,2-bromopropane,6358,0.0
pos_70,CC(C)(C)O,CC(C)(C)O,2-methylpropan-2-ol,6386,0.0
pos_71,CC(C)(C)CC,CCC(C)(C)C,"2,2-dimethylbutane",6403,0.0
pos_72,c1ccccc1C2(CCCCC2)N3CCCCC3,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,1-(1-phenylcyclohexyl)piperidine,6468,0.0
pos_73,CCCCC1(CC)C(=O)NC(=O)NC1=O,CCCCC1(C(=O)NC(=O)NC1=O)CC,"5-butyl-5-ethyl-1,3-diazinane-2,4,6-trione",6473,0.0
pos_74,ClC(Cl)=CCl,C(=C(Cl)Cl)Cl,"1,1,2-trichloroethene",6575,0.0
pos_75,CCCOC(=O)c1ccc(N)cc1,CCCOC(=O)C1=CC=C(C=C1)N,propyl 4-aminobenzoate,7174,0.0
pos_76,Cc1c(C)cccc1,CC1=CC=CC=C1C,"1,2-xylene",7237,0.0
pos_77,Cc1c(C)ccc(C)c1,CC1=CC(=C(C=C1)C)C,"1,2,4-trimethylbenzene",7247,0.0
pos_78,CCC(C)CC,CCC(C)CC,3-methylpentane,7282,0.0
pos_79,CC1CCCC1,CC1CCCC1,methylcyclopentane,7296,0.0
pos_80,CC(C)(C)c1ccccc1,CC(C)(C)C1=CC=CC=C1,tert-butylbenzene,7366,0.0
pos_81,FC(F)(F)c1ccc(Cl)cc1,C1=CC(=CC=C1C(F)(F)F)Cl,1-chloro-4-(trifluoromethyl)benzene,7394,0.0
pos_82,CCc1ccccc1,CCC1=CC=CC=C1,ethylbenzene,7500,0.0
pos_83,C=Cc1ccccc1,C=CC1=CC=CC=C1,styrene,7501,0.0
pos_84,Cc1ccc(C)cc1,CC1=CC=C(C=C1)C,"1,4-xylene",7809,0.0
pos_85,CCCBr,CCCBr,1-bromopropane,7840,0.0
pos_86,CC(C)CCC,CCCC(C)C,2-methylpentane,7892,0.0
pos_87,CC(=O)OC(C)C,CC(C)OC(=O)C,propan-2-yl acetate,7915,0.0
pos_88,Cc1cc(C)ccc1,CC1=CC(=CC=C1)C,"1,3-xylene",7929,0.0
pos_89,CC1CCCCC1,CC1CCCCC1,methylcyclohexane,7962,0.0
pos_90,CC(=O)OCCC,CCCOC(=O)C,propyl acetate,7997,0.0
pos_91,CCCCC,CCCCC,pentane,8003,0.0
pos_92,C=COC=C,C=COC=C,ethenoxyethene,8024,0.0
pos_93,CC(=O)OCC(C)C,CC(C)COC(=O)C,2-methylpropyl acetate,8038,0.0
pos_94,CCCCCC,CCCCCC,hexane,8058,0.0
pos_95,C1CCCCC1,C1CCCCC1,cyclohexane,8078,0.0
pos_96,C=CCCCCCC,CCCCCCC=C,oct-1-ene,8125,0.0
pos_97,CCCCCCCCC,CCCCCCCCC,nonane,8141,0.0
pos_98,CCCCCCC,CCCCCCC,heptane,8900,0.0
pos_99,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,CCCCCCC1(C(=O)NC(=O)NC1=O)CC,"5-ethyl-5-hexyl-1,3-diazinane-2,4,6-trione",8942,0.0
pos_100,C1CN(C)Cc2ccc(OC)c(c2C134)OC3CC(O)C=C4,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,"9-methoxy-4-methyl-11-oxa-4-azatetracyclo[8.6.1.01,12.06,17]heptadeca-6(17),7,9,15-tetraen-14-ol",3449,0.0
pos_101,FC(F)(F)COC=C,C=COCC(F)(F)F,"2-ethenoxy-1,1,1-trifluoroethane",9844,0.0
pos_102,CC1C(C)CCCC1,CC1CCCCC1C,"1,2-dimethylcyclohexane",11416,0.0
pos_103,CC(C)CCCC,CCCCC(C)C,2-methylhexane,11582,0.0
pos_104,CC(C)CCCCC,CCCCCC(C)C,2-methylheptane,11594,0.0
pos_105,CC(=O)OCCCCC,CCCCCOC(=O)C,pentyl acetate,12348,0.0
pos_106,ClC(Cl)(Cl)CCl,C(C(Cl)(Cl)Cl)Cl,"1,1,1,2-tetrachloroethane",12418,0.0
pos_107,CC(C)(C)OCC,CCOC(C)(C)C,2-ethoxy-2-methylpropane,12512,0.0
pos_108,CCCC(=O)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,CCCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C,1-[10-[3-(4-methylpiperazin-1-yl)propyl]phenothiazin-2-yl]butan-1-one,12598,0.0
pos_109,CC(C)CCCCCCC,CCCCCCCC(C)C,2-methylnonane,13379,0.0
pos_110,C=CCCCCCCCC,CCCCCCCCC=C,dec-1-ene,13381,0.0
pos_111,CC(C)(C)OC,CC(C)(C)OC,2-methoxy-2-methylpropane,15413,0.0
pos_112,CCCCCCCCCC,CCCCCCCCCC,decane,15600,0.0
pos_113,FS(F)(F)(F)(F)F,FS(F)(F)(F)(F)F,hexafluoro-lambda6-sulfane,17358,0.0
pos_114,CC(C)NCC(O)COc(cc1C)ccc1,CC1=CC(=CC=C1)OCC(CNC(C)C)O,1-(3-methylphenoxy)-3-(propan-2-ylamino)propan-2-ol,18047,0.0
pos_115,CC(C)(C)C1CCCCC1,CC(C)(C)C1CCCCC1,tert-butylcyclohexane,18508,0.0
pos_116,CC(C)CCCCCC,CCCCCCC(C)C,2-methyloctane,18591,0.0
pos_117,CNCCCN1c(cccc2)c2Sc(c13)cccc3,CNCCCN1C2=CC=CC=C2SC3=CC=CC=C31,N-methyl-3-phenothiazin-10-ylpropan-1-amine,28315,0.0
pos_118,CC(=O)OCCCC,CCCCOC(=O)C,butyl acetate,31272,0.0
pos_119,CC(=O)OCCC(C)C,CC(C)CCOC(=O)C,3-methylbutyl acetate,31276,0.0
pos_120,C=CCCCCCCC,CCCCCCCC=C,non-1-ene,31285,0.0
pos_121,FC(F)(F)C(F)Br,C(C(F)(F)F)(F)Br,"2-bromo-1,1,1,2-tetrafluoroethane",31300,0.0
pos_122,ClC(Cl)=C(Cl)Cl,C(=C(Cl)Cl)(Cl)Cl,"1,1,2,2-tetrachloroethene",31373,0.0
pos_123,c12c3c4ccc1cccc2ccc3ccc4,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,pyrene,31423,0.0
pos_124,CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)S(=O)(=O)C,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)C,10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfonylphenothiazine,31765,0.0
pos_125,FC(F)(F)C(F)OC(F)F,C(C(F)(F)F)(OC(F)F)F,"2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane",42113,0.0
pos_126,CSCC(C1)CN(CCC)C(C2)C1c3cccc4[nH]cc2c34,CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC,"9-(methylsulfanylmethyl)-7-propyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline",4745,0.0
pos_127,COC(C)(C)CC,CCC(C)(C)OC,2-methoxy-2-methylbutane,61247,0.0
pos_128,CNCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,CNCCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,3-(2-chlorophenothiazin-10-yl)-N-methylpropan-1-amine,62875,0.0
pos_129,CCc(cc1)ccc1C(=O)C(C)CN2CCCC2,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCC2,1-(4-ethylphenyl)-2-methyl-3-pyrrolidin-1-ylpropan-1-one,65860,0.0
pos_130,C1CCNc(c12)cccc2,C1CC2=CC=CC=C2NC1,"1,2,3,4-tetrahydroquinoline",69460,0.0
pos_131,NCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,C1=CC=C2C(=C1)N(C3=C(S2)C=CC(=C3)Cl)CCCN,3-(2-chlorophenothiazin-10-yl)propan-1-amine,74981,0.0
pos_132,C=COCCCCOC=C,C=COCCCCOC=C,"1,4-bis(ethenoxy)butane",77501,0.0
pos_133,CC(C)(C)OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,CC(C)(C)OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,tert-butyl 4-[4-[bis(2-chloroethyl)amino]phenyl]butanoate,83909,0.0
pos_134,c1c(Cl)ccc(c12)NC(=O)CC(=O)N2c3ccccc3,C1C(=O)NC2=C(C=C(C=C2)Cl)N(C1=O)C3=CC=CC=C3,"7-chloro-5-phenyl-1H-1,5-benzodiazepine-2,4-dione",89657,0.0
pos_135,N1CCNC1=Nc2c(Cl)cc(Cl)cc2,C1CN=C(N1)NC2=C(C=C(C=C2)Cl)Cl,"N-(2,4-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine",90274,0.0
pos_136,CC1C(C)CCC(C)C1,CC1CCC(C(C1)C)C,"1,2,4-trimethylcyclohexane",91517,0.0
pos_137,c1cccc(c12)sc(n2)NCCCOc(ccc3)cc3CN4CCCCC4,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,"N-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]-1,3-benzothiazol-2-amine",91769,0.0
pos_138,C1NCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,CSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCC4CCCNC4,2-methylsulfanyl-10-(2-piperidin-3-ylethyl)phenothiazine,114376,0.0
pos_139,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)N(C)CN3c4ccccc4,CN1CN(C2(C1=O)CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4,"8-[4-(4-fluorophenyl)-4-oxobutyl]-3-methyl-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",119146,0.0
pos_140,CNCCCN(c(c12)ccc(c1)O)c3c(CC2)cccc3,CNCCCN1C2=C(CCC3=CC=CC=C31)C=C(C=C2)O,"11-[3-(methylamino)propyl]-5,6-dihydrobenzo[b][1]benzazepin-3-ol",121249,0.0
pos_141,c1cccc(c12)N(CCCN)c3c(CC2)cccc3,C1CC2=CC=CC=C2N(C3=CC=CC=C31)CCCN,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)propan-1-amine",159642,0.0
pos_142,Cc1cccc(C2CN(C)CC3)c1Oc(c4C23O)cccc4,CC1=C2C(=CC=C1)C3CN(CCC3(C4=CC=CC=C4O2)O)C,"4,16-dimethyl-14-oxa-4-azatetracyclo[13.4.0.02,7.08,13]nonadeca-1(19),8,10,12,15,17-hexaen-7-ol",9860946,0.0
pos_143,c1ccccc1NC(=O)Oc(c2)ccc(c2C34C)N(C)C3N(C)CC4,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC4=CC=CC=C4)C)C,"(3,4,8b-trimethyl-2,3a-dihydro-1H-pyrrolo[2,3-b]indol-7-yl) N-phenylcarbamate",612745,0.0
pos_144,C1CCCNc(c12)cc(cc2)C(=O)CCC3CCN(CC3)Cc4ccccc4,C1CCNC2=C(C1)C=CC(=C2)C(=O)CCC3CCN(CC3)CC4=CC=CC=C4,"3-(1-benzylpiperidin-4-yl)-1-(2,3,4,5-tetrahydro-1H-1-benzazepin-8-yl)propan-1-one",198752,0.0
pos_145,C#CC1(O)CCC(C12C)C3C(CC2)C4=C(CC3C)CC(=O)CC4,CC1CC2=C(CCC(=O)C2)C3C1C4CCC(C4(CC3)C)(C#C)O,"17-ethynyl-17-hydroxy-7,13-dimethyl-1,2,4,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",5470,0.0
pos_146,c1ccccc1C(CC)=C(c2ccccc2)c3ccc(cc3)OCCN(C)C,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,"2-[4-(1,2-diphenylbut-1-enyl)phenoxy]-N,N-dimethylethanamine",5376,0.0
